"","Year","Date","Month","ppt","tmin","tmean","Forage"
"1",1935,1935-01-01,1,4.69,35.8,45.2,NA
"2",1935,1935-02-01,2,2.34,39.7,49.1,NA
"3",1935,1935-03-01,3,3.87,36.8,47.9,NA
"4",1935,1935-04-01,4,4.23,45.3,58,NA
"5",1935,1935-05-01,5,0.04,48.5,65.6,NA
"6",1935,1935-06-01,6,0,57.8,77.7,NA
"7",1935,1935-07-01,7,0,60.5,79.8,NA
"8",1935,1935-08-01,8,0,62,81.8,NA
"9",1935,1935-09-01,9,0.02,57.3,76.2,NA
"10",1935,1935-10-01,10,1.07,46,62,NA
"11",1935,1935-11-01,11,0.76,36.1,50,NA
"12",1935,1935-12-01,12,1.44,35.3,47.7,NA
"13",1936,1936-04-01,4,1.13,45.6,60.8,2057
"14",1936,1936-06-01,6,0.37,57.6,75.8,2057
"15",1936,1936-07-01,7,0.08,65.2,84.5,2057
"16",1936,1936-08-01,8,0,62.7,82.7,2057
"17",1936,1936-05-01,5,0.23,50.2,68.3,2057
"18",1936,1936-10-01,10,1.99,50,66.1,2057
"19",1936,1936-11-01,11,0.01,39,55.1,2057
"20",1936,1936-12-01,12,5.32,34.3,45,2057
"21",1936,1936-09-01,9,0,55.8,75.7,2057
"22",1936,1936-01-01,1,2.65,37.8,47.9,2057
"23",1936,1936-02-01,2,9.8,38.5,47.8,2057
"24",1936,1936-03-01,3,2.05,42.1,55.1,2057
"25",1937,1937-06-01,6,0,56.9,75,1694
"26",1937,1937-07-01,7,0,63.8,83.6,1694
"27",1937,1937-08-01,8,0,61.2,81.5,1694
"28",1937,1937-09-01,9,0,56.4,75.2,1694
"29",1937,1937-10-01,10,0.08,48.8,66.5,1694
"30",1937,1937-11-01,11,0.51,41.8,55.3,1694
"31",1937,1937-12-01,12,5.4,37.6,49.2,1694
"32",1937,1937-02-01,2,5.71,37.1,47.4,1694
"33",1937,1937-03-01,3,4.31,40.6,52.1,1694
"34",1937,1937-04-01,4,0.97,42.9,57.4,1694
"35",1937,1937-01-01,1,3.2,28.1,37.2,1694
"36",1937,1937-05-01,5,0,49.7,68.5,1694
"37",1938,1938-01-01,1,3.76,36.3,46.4,2662
"38",1938,1938-02-01,2,6.75,38.9,48.5,2662
"39",1938,1938-03-01,3,8.9,38.8,48.9,2662
"40",1938,1938-09-01,9,0.13,58.3,76.5,2662
"41",1938,1938-10-01,10,1.39,47.5,63.5,2662
"42",1938,1938-11-01,11,0.71,36.5,50.8,2662
"43",1938,1938-12-01,12,1.41,38.3,48.6,2662
"44",1938,1938-04-01,4,2.39,44.2,58.3,2662
"45",1938,1938-05-01,5,0.18,49.5,67.6,2662
"46",1938,1938-06-01,6,0,58.7,77.2,2662
"47",1938,1938-07-01,7,0.12,63.4,82.9,2662
"48",1938,1938-08-01,8,0,60.8,80.3,2662
"49",1939,1939-02-01,2,1.98,33.4,44.5,1452
"50",1939,1939-03-01,3,2.72,41.1,53,1452
"51",1939,1939-04-01,4,0.52,48.2,64.4,1452
"52",1939,1939-01-01,1,2.56,35.6,46.2,1452
"53",1939,1939-10-01,10,1.18,47.2,64.5,1452
"54",1939,1939-11-01,11,0.05,40.2,57.1,1452
"55",1939,1939-12-01,12,0.64,37.5,50.5,1452
"56",1939,1939-08-01,8,0,61.5,82.4,1452
"57",1939,1939-05-01,5,0.45,49.4,68,1452
"58",1939,1939-06-01,6,0.22,56.1,76.1,1452
"59",1939,1939-07-01,7,0,61.4,82.2,1452
"60",1939,1939-09-01,9,1.24,58.6,76.6,1452
"61",1940,1940-01-01,1,9.09,40.3,48.7,1936
"62",1940,1940-03-01,3,2.33,43.2,55.4,1936
"63",1940,1940-04-01,4,0.98,45.6,60.6,1936
"64",1940,1940-05-01,5,0,51.6,70.7,1936
"65",1940,1940-02-01,2,5.46,41.7,51.1,1936
"66",1940,1940-10-01,10,1.66,49.1,65.5,1936
"67",1940,1940-11-01,11,0.12,38.4,52.2,1936
"68",1940,1940-12-01,12,7.29,39.6,51.1,1936
"69",1940,1940-07-01,7,0,59.9,80.4,1936
"70",1940,1940-08-01,8,0,60.6,81.2,1936
"71",1940,1940-09-01,9,0,53.5,71.4,1936
"72",1940,1940-06-01,6,0,59.7,79.9,1936
"73",1941,1941-01-01,1,3.33,39.6,49.4,2057
"74",1941,1941-02-01,2,5.84,43.4,52.4,2057
"75",1941,1941-03-01,3,2.75,43.2,54.8,2057
"76",1941,1941-04-01,4,3.99,42.5,56.1,2057
"77",1941,1941-05-01,5,0.15,50.4,67.6,2057
"78",1941,1941-06-01,6,0,54.2,72.7,2057
"79",1941,1941-07-01,7,0,62,82.3,2057
"80",1941,1941-12-01,12,5.86,38.2,47.6,2057
"81",1941,1941-08-01,8,0.04,58.5,77,2057
"82",1941,1941-09-01,9,0,51.6,70.9,2057
"83",1941,1941-10-01,10,1.14,45.8,61.6,2057
"84",1941,1941-11-01,11,0.97,41.7,55.7,2057
"85",1942,1942-01-01,1,3.07,36.8,47,2037
"86",1942,1942-02-01,2,2,35.6,46.9,2037
"87",1942,1942-03-01,3,1.79,37.7,52,2037
"88",1942,1942-04-01,4,2.71,43.3,56.9,2037
"89",1942,1942-05-01,5,1.16,45.4,62.8,2037
"90",1942,1942-06-01,6,0,54.1,74.1,2037
"91",1942,1942-07-01,7,0,62.3,82.9,2037
"92",1942,1942-08-01,8,0,60.5,80.7,2037
"93",1942,1942-12-01,12,2.13,37.2,46.7,2037
"94",1942,1942-09-01,9,0,54.2,73,2037
"95",1942,1942-10-01,10,0.04,49.5,66.4,2037
"96",1942,1942-11-01,11,2.13,40.6,53.5,2037
"97",1943,1943-01-01,1,4.69,35.2,46.5,2427
"98",1943,1943-02-01,2,2.05,39,50.9,2427
"99",1943,1943-03-01,3,5.04,43.7,54.1,2427
"100",1943,1943-04-01,4,1.09,45.7,59.7,2427
"101",1943,1943-05-01,5,0.01,48.7,67.7,2427
"102",1943,1943-06-01,6,0,51.3,70.1,2427
"103",1943,1943-07-01,7,0,60,80.1,2427
"104",1943,1943-08-01,8,0,56.8,77,2427
"105",1943,1943-09-01,9,0,56.2,76.2,2427
"106",1943,1943-12-01,12,2.15,36.6,47.7,2427
"107",1943,1943-10-01,10,0.36,47.6,64.6,2427
"108",1943,1943-11-01,11,0.63,39.8,55,2427
"109",1944,1944-03-01,3,1.14,37.5,51.6,1631
"110",1944,1944-02-01,2,4.73,36.3,46.5,1631
"111",1944,1944-07-01,7,0,59.2,79.3,1631
"112",1944,1944-04-01,4,1.78,40.3,54.8,1631
"113",1944,1944-05-01,5,0.3,49.5,66.8,1631
"114",1944,1944-06-01,6,0.16,52.9,70.2,1631
"115",1944,1944-11-01,11,4.48,40.4,50.8,1631
"116",1944,1944-08-01,8,0,57.5,78.6,1631
"117",1944,1944-09-01,9,0.03,56,75.6,1631
"118",1944,1944-10-01,10,0.87,49.1,66.5,1631
"119",1944,1944-01-01,1,2.56,35,46.4,1631
"120",1944,1944-12-01,12,2.28,36.9,48,1631
"121",1945,1945-04-01,4,0.47,42.1,58.4,2594
"122",1945,1945-06-01,6,0.3,54.9,74.3,2594
"123",1945,1945-07-01,7,0,63,83.8,2594
"124",1945,1945-08-01,8,0,59.3,79.5,2594
"125",1945,1945-05-01,5,0.48,47.2,64.2,2594
