Date,ppt (inches),tmin (degrees F),tmean (degrees F)
1935-01,4.69,35.8,45.2
1935-02,2.34,39.7,49.1
1935-03,3.87,36.8,47.9
1935-04,4.23,45.3,58
1935-05,0.04,48.5,65.6
1935-06,0,57.8,77.7
1935-07,0,60.5,79.8
1935-08,0,62,81.8
1935-09,0.02,57.3,76.2
1935-10,1.07,46,62
1935-11,0.76,36.1,50
1935-12,1.44,35.3,47.7
1936-01,2.65,37.8,47.9
1936-02,9.8,38.5,47.8
1936-03,2.05,42.1,55.1
1936-04,1.13,45.6,60.8
1936-05,0.23,50.2,68.3
1936-06,0.37,57.6,75.8
1936-07,0.08,65.2,84.5
1936-08,0,62.7,82.7
1936-09,0,55.8,75.7
1936-10,1.99,50,66.1
1936-11,0.01,39,55.1
1936-12,5.32,34.3,45
1937-01,3.2,28.1,37.2
1937-02,5.71,37.1,47.4
1937-03,4.31,40.6,52.1
1937-04,0.97,42.9,57.4
1937-05,0,49.7,68.5
1937-06,0,56.9,75
1937-07,0,63.8,83.6
1937-08,0,61.2,81.5
1937-09,0,56.4,75.2
1937-10,0.08,48.8,66.5
1937-11,0.51,41.8,55.3
1937-12,5.4,37.6,49.2
1938-01,3.76,36.3,46.4
1938-02,6.75,38.9,48.5
1938-03,8.9,38.8,48.9
1938-04,2.39,44.2,58.3
1938-05,0.18,49.5,67.6
1938-06,0,58.7,77.2
1938-07,0.12,63.4,82.9
1938-08,0,60.8,80.3
1938-09,0.13,58.3,76.5
1938-10,1.39,47.5,63.5
1938-11,0.71,36.5,50.8
1938-12,1.41,38.3,48.6
1939-01,2.56,35.6,46.2
1939-02,1.98,33.4,44.5
1939-03,2.72,41.1,53
1939-04,0.52,48.2,64.4
1939-05,0.45,49.4,68
1939-06,0.22,56.1,76.1
1939-07,0,61.4,82.2
1939-08,0,61.5,82.4
1939-09,1.24,58.6,76.6
1939-10,1.18,47.2,64.5
1939-11,0.05,40.2,57.1
1939-12,0.64,37.5,50.5
1940-01,9.09,40.3,48.7
1940-02,5.46,41.7,51.1
1940-03,2.33,43.2,55.4
1940-04,0.98,45.6,60.6
1940-05,0,51.6,70.7
1940-06,0,59.7,79.9
1940-07,0,59.9,80.4
1940-08,0,60.6,81.2
1940-09,0,53.5,71.4
1940-10,1.66,49.1,65.5
1940-11,0.12,38.4,52.2
1940-12,7.29,39.6,51.1
1941-01,3.33,39.6,49.4
1941-02,5.84,43.4,52.4
1941-03,2.75,43.2,54.8
1941-04,3.99,42.5,56.1
1941-05,0.15,50.4,67.6
1941-06,0,54.2,72.7
1941-07,0,62,82.3
1941-08,0.04,58.5,77
1941-09,0,51.6,70.9
1941-10,1.14,45.8,61.6
1941-11,0.97,41.7,55.7
1941-12,5.86,38.2,47.6
1942-01,3.07,36.8,47
1942-02,2,35.6,46.9
1942-03,1.79,37.7,52
1942-04,2.71,43.3,56.9
1942-05,1.16,45.4,62.8
1942-06,0,54.1,74.1
1942-07,0,62.3,82.9
1942-08,0,60.5,80.7
1942-09,0,54.2,73
1942-10,0.04,49.5,66.4
1942-11,2.13,40.6,53.5
1942-12,2.13,37.2,46.7
1943-01,4.69,35.2,46.5
1943-02,2.05,39,50.9
1943-03,5.04,43.7,54.1
1943-04,1.09,45.7,59.7
1943-05,0.01,48.7,67.7
1943-06,0,51.3,70.1
1943-07,0,60,80.1
1943-08,0,56.8,77
1943-09,0,56.2,76.2
1943-10,0.36,47.6,64.6
1943-11,0.63,39.8,55
1943-12,2.15,36.6,47.7
1944-01,2.56,35,46.4
1944-02,4.73,36.3,46.5
1944-03,1.14,37.5,51.6
1944-04,1.78,40.3,54.8
1944-05,0.3,49.5,66.8
1944-06,0.16,52.9,70.2
1944-07,0,59.2,79.3
1944-08,0,57.5,78.6
1944-09,0.03,56,75.6
1944-10,0.87,49.1,66.5
1944-11,4.48,40.4,50.8
1944-12,2.28,36.9,48
1945-01,0.36,34.3,43.9
1945-02,5,39.2,49.6
1945-03,4.25,36.7,47.7
1945-04,0.47,42.1,58.4
1945-05,0.48,47.2,64.2
1945-06,0.3,54.9,74.3
1945-07,0,63,83.8
1945-08,0,59.3,79.5
1945-09,0.08,56.6,75.9
1945-10,1.97,51,66.3
1945-11,1.57,39.9,52.1
1945-12,3.51,38.1,47
1946-01,0.83,32.4,44.4
1946-02,2.14,34.4,46.6
1946-03,3.38,38.8,51.8
1946-04,0.2,43.3,60.5
1946-05,0.91,47.9,65.7
1946-06,0,53.5,72.8
1946-07,0.04,61.3,81
1946-08,0,59.8,80.8
1946-09,0,54.4,74.1
1946-10,1.65,45.3,61
1946-11,3.84,37.5,49.6
1946-12,3.36,38.4,46.5
1947-01,0.58,30.7,41.6
1947-02,1.35,39.3,50.5
1947-03,1.26,41.6,55
1947-04,0.33,45,61.8
1947-05,0.56,52.2,71.3
1947-06,0.07,56.9,75.2
1947-07,0,57.4,78.1
1947-08,0,57.9,77.2
1947-09,0.18,56.3,76.4
1947-10,1.31,49.6,64.1
1947-11,0.75,36.7,49.4
1947-12,0.72,33.6,44.9
1948-01,0.13,35.8,50.5
1948-02,1.43,34.2,46.8
1948-03,4.04,36.9,49.3
1948-04,3.87,43.2,56.6
1948-05,1.51,46,62.4
1948-06,0.02,55.7,74.3
1948-07,0,58.6,79.5
1948-08,0,57.5,77.8
1948-09,0,53.8,73.8
1948-10,0.29,46.9,64.2
1948-11,0.15,36.4,52.1
1948-12,2.06,33.6,43.1
1949-01,1.97,27.2,38.5
1949-02,1.75,33.3,44.8
1949-03,3.2,40.5,50.6
1949-04,0.01,45.4,62.2
1949-05,1.36,49,65.9
1949-06,0,57.2,76.9
1949-07,0,59.4,80.6
1949-08,0,57.4,76.4
1949-09,0,55.7,75.7
1949-10,0,44.8,63.2
1949-11,1.23,44,59
1949-12,1.81,33.4,45
1950-01,4.64,32,42.4
1950-02,2.33,38.6,50.9
1950-03,2.25,38.5,51.7
1950-04,1.73,44.9,61.4
1950-05,0.07,47.7,67.1
1950-06,0,53.7,73.1
1950-07,0.04,62,83.2
1950-08,0,59.4,80.2
1950-09,0.23,54.7,73.2
1950-10,1.89,49.1,66.3
1950-11,6.07,46,57.8
1950-12,3.4,42.7,50.8
1951-01,2.8,36,45.6
1951-02,2.33,36.5,48.7
1951-03,0.68,37.1,51.7
1951-04,1.37,43.4,59.6
1951-05,0.03,48.2,66.4
1951-06,0.04,53.9,74
1951-07,0,59.1,80.3
1951-08,0,58,79.3
1951-09,0,55.9,75.8
1951-10,0.8,45.6,63.8
1951-11,1.58,41.1,55.1
1951-12,5.73,34,44.6
1952-01,6.12,33.6,44.3
1952-02,1.4,36.8,48.6
1952-03,5.28,36.4,47.3
1952-04,2.21,46.3,60.1
1952-05,0.02,51.9,70.1
1952-06,0,51.7,69.9
1952-07,0.02,62.3,82.6
