"","Year","lbs_per_acre","ppt_winter","tmin_winter","tmean_winter","tmin_jan","tmean_jan","ppt_summer","tmean_summer","tmin_summer"
"1",1936,2057,10.52,28.1,50.85,28.1,37.2,0.45,79.675,55.8
"2",1937,1694,9.75,36.3,54.35,36.3,46.4,0,78.825,56.4
"3",1938,2662,6.07,35.6,52.275,35.6,46.2,0.25,79.225,58.3
"4",1939,1452,10.96,37.5,55.2,40.3,48.7,1.46,79.325,56.1
"5",1940,1936,12.4,38.4,54.55,39.6,49.4,0,78.225,53.5
"6",1941,2057,11.04,36.8,52.975,36.8,47,0.04,75.725,51.6
"7",1942,2037,8.99,35.2,53.275,35.2,46.5,0,77.675,54.1
"8",1943,2427,5.7,35,53.425,35,46.4,0,75.85,51.3
"9",1944,1631,7.99,34.3,52.3,34.3,43.9,0.19,75.925,52.9
"10",1945,2594,7.88,32.4,52.45,32.4,44.4,0.38,78.375,54.9
"11",1946,1815,9.43,30.7,49.675,30.7,41.6,0.04,77.175,53.5
"12",1947,1815,2.91,33.6,52.225,35.8,50.5,0.25,76.725,56.3
"13",1948,1491,4.47,27.2,49.475,27.2,38.5,0.02,76.35,53.8
"14",1949,1391,7.68,32,52.4,32,42.4,0,77.4,55.7
"15",1950,2842,14.16,36,55.125,36,45.6,0.27,77.425,53.7
"16",1951,2495,14.23,33.6,51.95,33.6,44.3,0.04,77.35,53.9
"17",1952,2562,9.28,37.2,54.5,39.4,50.1,0.12,77.425,51.7
"18",1953,1956,6.33,34.6,53,35.1,46.7,0.68,76.4,51.7
"19",1954,2584,8.99,32.6,50.975,32.6,41.9,0.69,75.85,51.9
"20",1955,2181,17.72,38.1,53.9,40.1,48.5,0,76.975,54.1
"21",1956,1970,4.9,31.3,51.2,31.3,42.8,0.05,76.8,55.3
"22",1957,1963,8.49,35.4,51.3,35.4,46.3,0.6,77.725,56.1
"23",1958,2138,3.5,35.7,55.825,38.4,49.1,0.79,77.9,54.4
"24",1959,785,3.2,33.1,53.75,34.2,46,2.69,78,55.1
"25",1960,1956,6.97,31.8,50.2,31.8,43,0,79.825,55.7
"26",1961,1353,6.31,29.8,50,29.8,41.1,0.19,78.775,52.6
"27",1962,1971,5.64,29.9,52.325,29.9,42.3,0.11,76.6,54.2
"28",1963,3055,7.05,33.7,50.375,33.9,43.5,0.38,75.625,54.2
"29",1964,2494,12.34,37.4,53.225,37.4,45.5,0.51,76,51.4
"30",1965,3773,9.22,33.4,52.075,33.4,44.1,0.21,74.725,51.3
"31",1966,2182,11.76,36.1,53.175,36.1,46,0.19,77.075,54.9
"32",1967,2934,5.68,30.9,52.55,33.2,44.3,0.59,79.675,54.1
"33",1968,2298,18.61,33.6,51.075,38,45.2,0,77.525,55
"34",1969,2724,9.96,35.9,53.125,38.8,49.3,0.69,77.725,55.5
"35",1970,3026,9.28,35.4,52.475,35.4,45,0.73,78.425,53
"36",1971,2727,6.51,31.9,48.775,31.9,40.5,0.15,77.825,54.3
"37",1972,1763,11.14,33.1,49.65,35.2,44.6,0.73,77.9,55.3
"38",1973,3031,12.2,37.5,51.975,37.8,47,0.02,77.075,53.5
"39",1974,2849,6.45,32.6,51.875,32.6,43.7,0.19,78.05,56.7
"40",1975,2618,3.44,32.1,50.8,32.1,45.6,0.52,76.675,55.2
"41",1976,2555,3.73,32.4,52.55,34.4,42.6,2.05,75.325,55.1
"42",1977,1042,13.4,41.6,55.575,42.1,50,0.66,77.975,56.7
"43",1978,4524,9.07,31.7,51.575,35.3,44.9,1.37,76.2,54.2
"44",1979,3355,10.97,36.2,54.6,40.7,49.6,0.2,78.325,56.2
"45",1980,3958,5.56,37.3,55.45,39.9,50.4,0.01,76.525,52.9
"46",1981,2549,12.17,33.8,52.075,33.8,42.9,0,80.15,59
"47",1982,3911,17.77,35.5,50.825,36.7,44.5,2.44,75.55,54.9
"48",1983,3630,10.72,37.8,53.725,37.8,46.2,0.63,76.025,54.1
"49",1984,1824,7.84,33.6,49.6,33.6,41.9,0.49,79.35,55.2
"50",1985,1690,8.62,35.2,51.9,42.9,52.2,0.78,76.95,54.4
"51",1986,2653,3.11,34.3,52.8,34.3,44.3,0.61,75.9,52
"52",1987,968,7.65,35.9,53.65,36.5,46.6,0.02,76.325,56.3
"53",1988,807,6.19,32,52.725,32,43.2,0.07,78.725,56.9
"54",1989,988,4.9,33.1,52.55,34.5,46.1,1.44,76.775,55.6
"55",1990,845,2.52,29.7,52.2,35.5,46.5,0.07,77.9,56.6
"56",1991,2338,6.19,34.5,53.45,34.5,42.1,0.18,77.625,54.2
"57",1992,2699,15.23,35.7,53.35,37.7,46.9,1.16,78.175,57.1
"58",1993,1829,5.14,36.5,53.35,37.5,47.6,1.19,75.45,53.8
"59",1994,1328,14.61,36.7,52.025,43.3,51.1,0.17,78.95,55.3
"60",1995,2355,7,38.6,56.425,38.6,48.3,0.74,76.775,53.2
"61",1996,2651,24.49,40.5,53.575,40.8,48.5,0.17,78.75,53.5
"62",1997,2286,13.02,35.5,53.7,39.4,49.3,0.18,77.45,56.3
"63",1998,2508,6.26,31.3,50.975,34.7,45.3,2.09,77.975,55
"64",1999,2191,6.84,34.7,56.15,39.6,49.3,0.43,76.975,56.1
"65",2000,1893,6.94,34.9,51.775,34.9,46.3,1.32,76.9,55
"66",2001,1852,9.39,35.9,54.4,35.9,45.1,0.09,79,58
"67",2002,2078,7.53,38.9,55.15,40.6,50.6,0.07,79.2,55.9
"68",2003,3717,6.15,36.8,54.1,36.8,45.8,0.32,80.8,59.3
"69",2004,1100,13.64,36.7,51.775,39.1,46.3,0.04,78.375,56.4
"70",2005,3970,9.79,37.6,55.025,37.6,48.1,0.21,77.6,51.8
"71",2006,2561,4.24,30.4,52.15,30.4,43.5,0.08,79.475,56.9
"72",2007,852,9.07,35.3,52.675,37.9,46.2,0.11,78.225,56.4
"73",2008,1646,6.41,36.1,53.95,36.7,47,0,79.325,57.9
"74",2009,1403,10.51,36.4,52.075,39.7,48,0.71,78.225,54.9
"75",2010,3199,16.61,37.9,53.625,37.9,45.9,0,77.125,57.2
