"","year","winterYear","lbs_per_acre","percentile","pptIn_12","tmin_12","tmean_12","pptIn_1","tmin_1","tmean_1","pptIn_2","tmin_2","tmean_2","pptIn_3","tmin_3","tmean_3","pptIn_4","tmin_4","tmean_4","pptIn_5","tmin_5","tmean_5","pptIn_6","tmin_6","tmean_6","pptIn_7","tmin_7","tmean_7","pptIn_8","tmin_8","tmean_8","pptIn_9","tmin_9","tmean_9","pptIn_10","tmin_10","tmean_10","pptIn_11","tmin_11","tmean_11"
"1",1935,1934,NA,NA,4.69,35.8,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1936,1935,2057,0.453333333333333,2.65,37.8,47.9,2.34,39.7,49.1,3.87,36.8,47.9,4.23,45.3,58,0.04,48.5,65.6,0,57.8,77.7,0,60.5,79.8,0,62,81.8,0.02,57.3,76.2,1.07,46,62,0.76,36.1,50,1.44,35.3,47.7
"3",1937,1936,1694,0.24,3.2,28.1,37.2,9.8,38.5,47.8,2.05,42.1,55.1,1.13,45.6,60.8,0.23,50.2,68.3,0.37,57.6,75.8,0.08,65.2,84.5,0,62.7,82.7,0,55.8,75.7,1.99,50,66.1,0.01,39,55.1,5.32,34.3,45
"4",1938,1937,2662,0.76,3.76,36.3,46.4,5.71,37.1,47.4,4.31,40.6,52.1,0.97,42.9,57.4,0,49.7,68.5,0,56.9,75,0,63.8,83.6,0,61.2,81.5,0,56.4,75.2,0.08,48.8,66.5,0.51,41.8,55.3,5.4,37.6,49.2
"5",1939,1938,1452,0.173333333333333,2.56,35.6,46.2,6.75,38.9,48.5,8.9,38.8,48.9,2.39,44.2,58.3,0.18,49.5,67.6,0,58.7,77.2,0.12,63.4,82.9,0,60.8,80.3,0.13,58.3,76.5,1.39,47.5,63.5,0.71,36.5,50.8,1.41,38.3,48.6
"6",1940,1939,1936,0.346666666666667,9.09,40.3,48.7,1.98,33.4,44.5,2.72,41.1,53,0.52,48.2,64.4,0.45,49.4,68,0.22,56.1,76.1,0,61.4,82.2,0,61.5,82.4,1.24,58.6,76.6,1.18,47.2,64.5,0.05,40.2,57.1,0.64,37.5,50.5
"7",1941,1940,2057,0.453333333333333,3.33,39.6,49.4,5.46,41.7,51.1,2.33,43.2,55.4,0.98,45.6,60.6,0,51.6,70.7,0,59.7,79.9,0,59.9,80.4,0,60.6,81.2,0,53.5,71.4,1.66,49.1,65.5,0.12,38.4,52.2,7.29,39.6,51.1
"8",1942,1941,2037,0.426666666666667,3.07,36.8,47,5.84,43.4,52.4,2.75,43.2,54.8,3.99,42.5,56.1,0.15,50.4,67.6,0,54.2,72.7,0,62,82.3,0.04,58.5,77,0,51.6,70.9,1.14,45.8,61.6,0.97,41.7,55.7,5.86,38.2,47.6
"9",1943,1942,2427,0.586666666666667,4.69,35.2,46.5,2,35.6,46.9,1.79,37.7,52,2.71,43.3,56.9,1.16,45.4,62.8,0,54.1,74.1,0,62.3,82.9,0,60.5,80.7,0,54.2,73,0.04,49.5,66.4,2.13,40.6,53.5,2.13,37.2,46.7
"10",1944,1943,1631,0.2,2.56,35,46.4,2.05,39,50.9,5.04,43.7,54.1,1.09,45.7,59.7,0.01,48.7,67.7,0,51.3,70.1,0,60,80.1,0,56.8,77,0,56.2,76.2,0.36,47.6,64.6,0.63,39.8,55,2.15,36.6,47.7
"11",1945,1944,2594,0.706666666666667,0.36,34.3,43.9,4.73,36.3,46.5,1.14,37.5,51.6,1.78,40.3,54.8,0.3,49.5,66.8,0.16,52.9,70.2,0,59.2,79.3,0,57.5,78.6,0.03,56,75.6,0.87,49.1,66.5,4.48,40.4,50.8,2.28,36.9,48
"12",1946,1945,1815,0.28,0.83,32.4,44.4,5,39.2,49.6,4.25,36.7,47.7,0.47,42.1,58.4,0.48,47.2,64.2,0.3,54.9,74.3,0,63,83.8,0,59.3,79.5,0.08,56.6,75.9,1.97,51,66.3,1.57,39.9,52.1,3.51,38.1,47
"13",1947,1946,1815,0.28,0.58,30.7,41.6,2.14,34.4,46.6,3.38,38.8,51.8,0.2,43.3,60.5,0.91,47.9,65.7,0,53.5,72.8,0.04,61.3,81,0,59.8,80.8,0,54.4,74.1,1.65,45.3,61,3.84,37.5,49.6,3.36,38.4,46.5
"14",1948,1947,1491,0.186666666666667,0.13,35.8,50.5,1.35,39.3,50.5,1.26,41.6,55,0.33,45,61.8,0.56,52.2,71.3,0.07,56.9,75.2,0,57.4,78.1,0,57.9,77.2,0.18,56.3,76.4,1.31,49.6,64.1,0.75,36.7,49.4,0.72,33.6,44.9
"15",1949,1948,1391,0.146666666666667,1.97,27.2,38.5,1.43,34.2,46.8,4.04,36.9,49.3,3.87,43.2,56.6,1.51,46,62.4,0.02,55.7,74.3,0,58.6,79.5,0,57.5,77.8,0,53.8,73.8,0.29,46.9,64.2,0.15,36.4,52.1,2.06,33.6,43.1
